CSCI,2400,200,B,27604,4,Computer Systems,LEC,02:00 PM,03:15 PM,TTH,MATH 100,,240,Main Campus
CSCI,2820,001,B,26727,3,Linear Algebra with CS Apps,LEC,02:00 PM,03:15 PM,TTH,ECCR 1B40,,130,Main Campus
CSCI,2824,001,B,24924,3,Discrete Structures,LEC,09:00 AM,09:50 AM,MWF,FLMG 155,,150,Main Campus
CSCI,2824,002,B,27360,3,Discrete Structures,LEC,11:00 AM,11:50 AM,MWF,HUMN 1B50,,220,Main Campus
CSCI,2830,800,B,27998,1,Special Topics,LEC,05:00 PM,06:15 PM,TH,ECES112,,48,Main Campus
CSCI,2830,801,B,35303,1,Special Topics,LEC,01:00 PM,02:15 PM,F,ECES112,,48,Main Campus
CSCI,3002,100,B,26770,4,Fundamentals of HCI,LEC,11:00 AM,12:15 PM,TTH,FLMG 155,,190,Main Campus
CSCI,3002,101,B,27652,4,Fundamentals of HCI,REC,04:00 PM,04:50 PM,TH,FLMG103,,37,Main Campus
CSCI,3002,102,B,27655,4,Fundamentals of HCI,REC,05:00 PM,05:50 PM,TH,ECCR135,,42,Main Campus
CSCI,3002,103,B,27653,4,Fundamentals of HCI,REC,09:00 AM,09:50 AM,F,KOBL375,,37,Main Campus
CSCI,3002,104,B,27654,4,Fundamentals of HCI,REC,10:00 AM,10:50 AM,F,KOBL375,,37,Main Campus
CSCI,3002,105,B,33556,4,Fundamentals of HCI,REC,02:00 PM,02:50 PM,F,ECES114,,37,Main Campus
CSCI,3010,001,B,27726,3,Programming Project Workshop,LEC,01:00 PM,02:15 PM,TTH,FLMG 33,Muzny;Felix,48,Main Campus
CSCI,3010,002,B,35309,3,Programming Project Workshop,LEC,09:30 AM,10:45 AM,WF,FLMG33,,56,Main Campus
CSCI,3022,001,B,27296,3,Intro to Data Sci w Prob/Stat,LEC,01:00 PM,01:50 PM,MWF,ECCR 200,Wong;Anthony,106,Main Campus
CSCI,3022,002,B,27577,3,Intro to Data Sci w Prob/Stat,LEC,03:00 PM,03:50 PM,MWF,ECCR 1B40,Larremore;Daniel,130,Main Campus
CSCI,3104,100,B,25021,4,Algorithms,LEC,12:30 PM,01:45 PM,TTH,ECCS 1B28,Hoenigman;Rhonda,78,Main Campus
CSCI,3104,100B,B,27475,4,Algorithms,LEC,,,TBA,DistanceEducation,Hoenigman;Rhonda,74,Main Campus
CSCI,3104,101,B,26939,4,Algorithms,REC,04:00 PM,04:50 PM,T,STAD112,Hoenigman;Rhonda,39,Main Campus
CSCI,3104,102,B,26135,4,Algorithms,REC,08:00 AM,08:50 AM,W,ECES114,Hoenigman;Rhonda,39,Main Campus
CSCI,3104,111,B,27474,4,Algorithms,REC,12:00 PM,12:50 PM,W,ECCR105,Hoenigman;Rhonda,37,Main Campus
CSCI,3104,112,B,27476,4,Algorithms,REC,09:00 AM,09:50 AM,TH,ECCR1B55,Hoenigman;Rhonda,37,Main Campus
CSCI,3104,200,B,27361,4,Algorithms,LEC,09:30 AM,10:45 AM,TTH,ECCR 1B40,Chen;Lijun,111,Main Campus
CSCI,3104,201,B,27429,4,Algorithms,REC,03:00 PM,03:50 PM,T,STAD112,Chen;Lijun,37,Main Campus
CSCI,3104,202,B,27873,4,Algorithms,REC,09:00 AM,09:50 AM,W,ECCR135,Chen;Lijun,37,Main Campus
